"pos","rank","prob_gp"
"QB",1,0.927354277567839
"QB",2,0.925979478145476
"QB",3,0.924545873459745
"QB",4,0.922994658247282
"QB",5,0.921267027244718
"QB",6,0.919304175188687
"QB",7,0.917047296815822
"QB",8,0.914437586862757
"QB",9,0.911416240066125
"QB",10,0.90792445116256
"QB",11,0.903903382732538
"QB",12,0.899288976000794
"QB",13,0.894006223021127
"QB",14,0.887978737152168
"QB",15,0.881130131752551
"QB",16,0.873384020180908
"QB",17,0.864664015795871
"QB",18,0.854893731956073
"QB",19,0.843996782020148
"QB",20,0.831896779346726
"QB",21,0.818518262320882
"QB",22,0.803813823645243
"QB",23,0.787768489762046
"QB",24,0.770369093805797
"QB",25,0.751602468911001
"QB",26,0.731455448212167
"QB",27,0.7099148648438
"QB",28,0.686967551940407
"QB",29,0.662600342636493
"QB",30,0.636800070066565
"QB",31,0.609573540327763
"QB",32,0.581159745207847
"QB",33,0.551947473714333
"QB",34,0.522328011475062
"QB",35,0.49269264411788
"QB",36,0.463432657270629
"QB",37,0.434939336561154
"QB",38,0.407603967617298
"QB",39,0.381817836066905
"QB",40,0.357972227537818
"QB",41,0.33639672218931
"QB",42,0.317075614697335
"QB",43,0.299873163318519
"QB",44,0.284653505790993
"QB",45,0.271280779852887
"QB",46,0.259619123242332
"QB",47,0.249532673697461
"QB",48,0.240885568956403
"QB",49,0.233541946757291
"QB",50,0.227365941673983
"QB",51,0.222218536665798
"QB",52,0.217951649053846
"QB",53,0.21441557605216
"QB",54,0.211460614874777
"QB",55,0.208937062735733
"QB",56,0.20669521684906
"QB",57,0.204585374428797
"QB",58,0.202457832688977
"QB",59,0.200162888843636
"QB",60,0.197552106752448
"QB",61,0.194553049013428
"QB",62,0.19121107626902
"QB",63,0.187581682326779
"QB",64,0.18372036099426
"QB",65,0.179682606079019
"QB",66,0.17552391138861
"QB",67,0.17129977073059
"QB",68,0.167065677912514
"QB",69,0.162877126741936
"QB",70,0.158787009939656
"QB",71,0.154801525517
"QB",72,0.150886481810127
"QB",73,0.147006355398777
"QB",74,0.143125622862686
"QB",75,0.139208760781594
"QB",76,0.13522024573524
"QB",77,0.131124554303361
"QB",78,0.126886163065696
"QB",79,0.122469548601984
"QB",80,0.117843750726886
"QB",81,0.113014049056608
"QB",82,0.108003004962939
"QB",83,0.102833286248803
"QB",84,0.0975275607171237
"QB",85,0.0921084961708246
"QB",86,0.0865987604128302
"QB",87,0.0810210212460639
"QB",88,0.0753979464734501
"QB",89,0.069752203897912
"RB",1,0.793857134834305
"RB",2,0.793970547687312
"RB",3,0.794080518660934
"RB",4,0.794183605875787
"RB",5,0.794276367452488
"RB",6,0.794355361511652
"RB",7,0.794417146173894
"RB",8,0.79445827955983
"RB",9,0.794475319790076
"RB",10,0.794464824985248
"RB",11,0.794423353265962
"RB",12,0.794347462752832
"RB",13,0.794233711566475
"RB",14,0.794078657827506
"RB",15,0.793878859656542
"RB",16,0.793630875174197
"RB",17,0.793331262501088
"RB",18,0.792976579757831
"RB",19,0.79256338506504
"RB",20,0.792088236543332
"RB",21,0.791547692313323
"RB",22,0.790938624687955
"RB",23,0.790259162749484
"RB",24,0.789507749772494
"RB",25,0.788682829031567
"RB",26,0.787782843801285
"RB",27,0.786806237356233
"RB",28,0.785751452970992
"RB",29,0.784616933920147
"RB",30,0.78340112347828
"RB",31,0.782102464919973
"RB",32,0.780719401519811
"RB",33,0.779250376552376
